,open,high,low,bid,ask
2017-01-02 00:05:00,1.0523,1.0523,1.05153,1.05196,1.05299066667
2017-01-02 00:10:00,1.05196,1.05203,1.05153,1.05201,1.052955
2017-01-02 00:15:00,1.05201,1.05202,1.05187,1.05196,1.05295666667
2017-01-02 00:20:00,1.05196,1.05196,1.05185,1.05196,1.05298787879
2017-01-02 00:25:00,1.05196,1.05198,1.05185,1.05196,1.05295545455
2017-01-02 00:30:00,1.05196,1.05211,1.05142,1.05201,1.05278741935
2017-01-02 00:35:00,1.05201,1.05202,1.05186,1.05195,1.05286354839
2017-01-02 00:40:00,1.05195,1.05199,1.05186,1.05195,1.05287580645
2017-01-02 00:45:00,1.05195,1.05195,1.05186,1.05195,1.05286555556
2017-01-02 00:50:00,1.05195,1.05195,1.05149,1.05195,1.05288652174
2017-01-02 00:55:00,1.05195,1.05195,1.0518,1.05183,1.0528662963
2017-01-02 01:00:00,1.05183,1.05195,1.05183,1.05195,1.05287064516
2017-01-02 01:05:00,1.05195,1.05195,1.05183,1.05193,1.05285837838
2017-01-02 01:10:00,1.05193,1.05199,1.05183,1.05199,1.052931875
2017-01-02 01:15:00,1.05199,1.05204,1.05184,1.05204,1.05291074074
2017-01-02 01:20:00,1.05204,1.05204,1.05185,1.05204,1.05301310345
2017-01-02 01:25:00,1.05204,1.05232,1.05162,1.05205,1.05300243902
2017-01-02 01:30:00,1.05205,1.05205,1.0518,1.05199,1.05258147059
2017-01-02 01:35:00,1.05199,1.05202,1.05181,1.05197,1.05259870968
2017-01-02 01:40:00,1.05197,1.05199,1.05179,1.05186,1.0526252
2017-01-02 01:45:00,1.05186,1.05205,1.05186,1.05188,1.05256705882
2017-01-02 01:50:00,1.05188,1.05201,1.05186,1.05187,1.052521
2017-01-02 01:55:00,1.05187,1.05199,1.05186,1.05199,1.05250567568
2017-01-02 02:00:00,1.05199,1.05201,1.05185,1.0519,1.0526025
2017-01-02 02:05:00,1.0519,1.05201,1.05185,1.0519,1.05254371429
2017-01-02 02:10:00,1.0519,1.05201,1.05139,1.05165,1.05233337838
2017-01-02 02:15:00,1.05165,1.05167,1.05138,1.05165,1.05240264706
2017-01-02 02:20:00,1.05165,1.05166,1.05127,1.05151,1.05216066667
2017-01-02 02:25:00,1.05151,1.05159,1.05128,1.0515,1.05227152174
2017-01-02 02:30:00,1.0515,1.05175,1.05118,1.05154,1.052274375
2017-01-02 02:35:00,1.05154,1.05154,1.05154,1.05154,1.05225
2017-01-02 02:40:00,1.05154,1.05154,1.05149,1.0515,1.05221888889
2017-01-02 02:45:00,1.0515,1.05156,1.05149,1.05149,1.05220625
2017-01-02 02:50:00,1.05149,1.05155,1.05149,1.0515,1.05222695652
2017-01-02 02:55:00,1.0515,1.05153,1.05149,1.05151,1.052235
2017-01-02 03:00:00,1.05151,1.05159,1.05147,1.05155,1.05241956044
2017-01-02 03:05:00,1.05155,1.05166,1.05154,1.05159,1.05232777778
2017-01-02 03:10:00,1.05159,1.05164,1.05152,1.05153,1.05229068966
2017-01-02 03:15:00,1.05153,1.05161,1.05153,1.05153,1.05229647059
2017-01-02 03:20:00,1.05153,1.05161,1.05132,1.05141,1.0519975
2017-01-02 03:25:00,1.05141,1.05156,1.05135,1.05153,1.05207966667
2017-01-02 03:30:00,1.05153,1.05162,1.05135,1.0515,1.05201230189
2017-01-02 03:35:00,1.0515,1.05166,1.05138,1.0516,1.0521025
2017-01-02 03:40:00,1.0516,1.05162,1.05136,1.05151,1.05213714286
2017-01-02 03:45:00,1.05151,1.05162,1.0513,1.05154,1.05239352941
2017-01-02 03:50:00,1.05154,1.05163,1.05138,1.05163,1.05230956522
2017-01-02 03:55:00,1.05163,1.05163,1.05135,1.05153,1.05247812261
2017-01-02 04:00:00,1.05153,1.0521,1.05136,1.0519,1.05248666667
2017-01-02 04:05:00,1.0519,1.0519,1.05153,1.0519,1.052411875
2017-01-02 04:10:00,1.0519,1.05194,1.05138,1.05189,1.05240791667
2017-01-02 04:15:00,1.05189,1.05189,1.05138,1.05185,1.05241454545
2017-01-02 04:20:00,1.05185,1.05185,1.05138,1.05153,1.05205181818
2017-01-02 04:25:00,1.05153,1.05153,1.0513,1.05147,1.05201307692
2017-01-02 04:30:00,1.05147,1.05147,1.05129,1.05143,1.05198111111
2017-01-02 04:35:00,1.05143,1.05145,1.0513,1.05144,1.05195645161
2017-01-02 04:40:00,1.05144,1.05144,1.05138,1.05141,1.0519727027
2017-01-02 04:45:00,1.05148,1.0515,1.05131,1.05142,1.05195911111
2017-01-02 04:50:00,1.05142,1.0515,1.05137,1.05145,1.05210075
2017-01-02 04:55:00,1.05145,1.05148,1.05132,1.05148,1.05201666667
2017-01-02 05:00:00,1.05148,1.05149,1.05132,1.05148,1.05201909091
2017-01-02 05:05:00,1.05148,1.05149,1.05132,1.05148,1.05202173913
2017-01-02 05:10:00,1.05148,1.05149,1.05132,1.05149,1.05201764706
2017-01-02 05:15:00,1.05149,1.0515,1.05132,1.05149,1.052042
2017-01-02 05:20:00,1.05149,1.05149,1.05126,1.05141,1.05193567568
2017-01-02 05:25:00,1.05141,1.05152,1.05129,1.05146,1.05188
2017-01-02 05:30:00,1.05146,1.0515,1.05125,1.05138,1.05198466667
2017-01-02 05:35:00,1.05138,1.05139,1.05125,1.05139,1.05196090909
2017-01-02 05:40:00,1.05139,1.05161,1.05092,1.05138,1.05190731343
2017-01-02 05:45:00,1.05138,1.05138,1.05096,1.05118,1.05170825
2017-01-02 05:50:00,1.05118,1.05128,1.0509,1.05105,1.051485
2017-01-02 05:55:00,1.05105,1.05117,1.05087,1.05106,1.05166344828
