,PNL,buys,sells,longest_buys,longest_sells
2017-07-07,0.007789999999991082,3338.0,3675.0,15.0,30.0
2017-07-10,0.003469999999996754,3050.0,3485.0,11.0,16.0
2017-07-11,0.0017099999999790057,3716.0,2971.0,1139.0,50.0
2017-07-12,0.009120000000005568,4198.0,2798.0,792.0,25.0
2017-07-13,0.0017700000000093752,3352.0,3543.0,18.0,22.0
2017-07-14,-0.002980000000005756,3059.0,3661.0,10.0,13.0
2017-07-17,0.003620000000021939,3128.0,3503.0,16.0,12.0
2017-07-18,-0.005750000000001032,476.0,6725.0,9.0,6159.0
2017-07-19,-0.010460000000007907,3608.0,3137.0,91.0,74.0
2017-07-20,-0.006039999999988055,1782.0,5314.0,38.0,2037.0
2017-07-21,0.004619999999994073,1926.0,5128.0,11.0,2008.0
2017-07-24,0.0027999999999961398,3389.0,3445.0,26.0,21.0
2017-07-25,0.002880000000001548,2897.0,4165.0,14.0,787.0
2017-07-26,-0.003310000000014135,2956.0,4162.0,17.0,619.0
2017-07-27,-0.0010900000000133585,2820.0,4576.0,43.0,994.0
2017-07-28,0.00541999999999776,3561.0,3603.0,18.0,26.0
2017-07-31,-0.006840000000015279,2553.0,4566.0,11.0,1871.0
2017-08-01,0.012890000000012058,2977.0,4180.0,15.0,567.0
2017-08-02,0.001659999999996221,2161.0,5043.0,12.0,2070.0
2017-08-03,0.001869999999995375,3470.0,3620.0,15.0,21.0
2017-08-04,-0.017870000000007602,3549.0,3511.0,157.0,21.0
2017-08-07,-0.004109999999998948,2646.0,4269.0,31.0,127.0
2017-08-08,-0.001750000000008134,3260.0,3886.0,167.0,24.0
2017-08-09,0.0008700000000017027,4074.0,3353.0,371.0,17.0
2017-08-10,0.007749999999993928,3481.0,3720.0,18.0,19.0
2017-08-11,0.00048000000001002796,2505.0,4663.0,13.0,585.0
2017-08-14,0.0012499999999906473,3370.0,3852.0,15.0,24.0
2017-08-15,0.0002900000000114482,3363.0,3727.0,50.0,11.0
2017-08-16,-0.007980000000000542,3546.0,3542.0,64.0,14.0
2017-08-17,0.008029999999995097,3501.0,3842.0,81.0,15.0
2017-08-18,-0.011040000000006378,3440.0,3835.0,13.0,21.0
2017-08-21,-0.002250000000001861,2249.0,4738.0,13.0,2071.0
2017-08-22,0.004000000000005777,3059.0,3863.0,16.0,83.0
2017-08-23,-0.0003700000000017576,3187.0,3807.0,12.0,23.0
2017-08-24,0.0004700000000033011,3198.0,3606.0,12.0,11.0
2017-08-25,-0.004339999999994682,2195.0,4755.0,12.0,2209.0
2017-08-28,0.0009000000000003467,2.0,876.0,2.0,876.0
2017-08-29,-0.001560000000000672,5.0,6516.0,2.0,6237.0
2017-08-30,-0.0018100000000045302,3836.0,3533.0,392.0,81.0
2017-08-31,0.009110000000001062,3776.0,3581.0,117.0,33.0
2017-09-01,0.009590000000003762,3537.0,3610.0,22.0,30.0
2017-09-04,0.0025799999999887024,3226.0,3859.0,14.0,15.0
2017-09-05,-0.0063800000000111545,3230.0,4000.0,9.0,15.0
