,PNL,buys,sells,longest_buys,longest_sells
2017-07-07,0.002349999999999852,0.0,7013.0,0.0,7013.0
2017-07-10,0.00019000000000013453,0.0,6535.0,0.0,6535.0
2017-07-11,-0.006770000000000165,0.0,6687.0,0.0,6687.0
2017-07-12,0.005300000000000082,0.0,6996.0,0.0,6996.0
2017-07-13,0.0028700000000010384,3019.0,3876.0,1408.0,2982.0
2017-07-14,-0.0018400000000018402,2381.0,4339.0,1734.0,3447.0
2017-07-17,-0.0011600000000000494,0.0,6631.0,0.0,6631.0
2017-07-18,-0.007489999999999997,0.0,7201.0,0.0,7201.0
2017-07-19,0.0040400000000000436,0.0,6745.0,0.0,6745.0
2017-07-20,-0.011600000000000055,0.0,7096.0,0.0,7096.0
2017-07-21,-0.0033999999999998476,0.0,7054.0,0.0,7054.0
2017-07-24,0.0022999999999999683,0.0,6834.0,0.0,6834.0
2017-07-25,-0.000700000000000145,0.0,7062.0,0.0,7062.0
2017-07-26,-0.008649999999999824,0.0,7118.0,0.0,7118.0
2017-07-27,-0.011929999999999552,4958.0,2438.0,4521.0,2047.0
2017-07-28,-0.007039999999999935,0.0,7164.0,0.0,7164.0
2017-07-31,-0.009460000000000024,0.0,7119.0,0.0,7119.0
2017-08-01,0.004049999999999887,0.0,7157.0,0.0,7157.0
2017-08-02,-0.005539999999999878,0.0,7204.0,0.0,7204.0
2017-08-03,-0.0013100000000001444,0.0,7090.0,0.0,7090.0
2017-08-04,0.007329999999999837,2171.0,4889.0,2171.0,4889.0
2017-08-07,0.0019300000000002093,6915.0,0.0,6915.0,0.0
2017-08-08,0.001009999999998401,3752.0,3394.0,2204.0,857.0
2017-08-09,0.0007500000000000284,7427.0,0.0,7427.0,0.0
2017-08-10,0.003210000000000156,6731.0,470.0,6615.0,213.0
2017-08-11,-0.004819999999999824,0.0,7168.0,0.0,7168.0
2017-08-14,0.004170000000000007,0.0,7222.0,0.0,7222.0
2017-08-15,0.005029999999999424,3348.0,3742.0,2905.0,2639.0
2017-08-16,0.006319999999998993,5794.0,1294.0,3267.0,922.0
2017-08-17,0.009389999999998677,2247.0,5096.0,1581.0,3223.0
2017-08-18,0.005219999999999336,1926.0,5349.0,1390.0,1652.0
2017-08-21,-0.005630000000000024,0.0,6987.0,0.0,6987.0
2017-08-22,0.005640000000000089,0.0,6922.0,0.0,6922.0
2017-08-23,-0.005210000000000159,0.0,6994.0,0.0,6994.0
2017-08-24,0.0008500000000000174,0.0,6804.0,0.0,6804.0
2017-08-25,-0.01197999999999988,0.0,6950.0,0.0,6950.0
2017-08-28,0.0030799999999999734,878.0,0.0,878.0,0.0
2017-08-29,-0.002100000000000213,0.0,6521.0,0.0,6521.0
2017-08-30,0.008930000000000105,0.0,7369.0,0.0,7369.0
2017-08-31,-0.0023699999999999832,0.0,7357.0,0.0,7357.0
2017-09-01,0.004890000000000062,0.0,7147.0,0.0,7147.0
2017-09-04,-0.0027000000000001467,0.0,7085.0,0.0,7085.0
2017-09-05,-0.0024199999999998667,0.0,7230.0,0.0,7230.0
2017-09-06,-0.0007700000000001594,0.0,7226.0,0.0,7226.0
2017-09-07,-0.01020999999999983,0.0,7259.0,0.0,7259.0
2017-09-08,-0.0012900000000000134,0.0,7405.0,0.0,7405.0
2017-09-11,0.007900000000000018,0.0,7207.0,0.0,7207.0
2017-09-12,-0.0013100000000001444,0.0,6435.0,0.0,6435.0
2017-09-13,-0.002849999999999797,2112.0,5045.0,2112.0,5045.0
2017-09-14,0.003729999999999789,7274.0,0.0,7274.0,0.0
2017-09-15,0.004060000000000175,3691.0,3724.0,3588.0,2696.0
2017-09-18,0.0002800000000005026,7.0,7349.0,6.0,4263.0
2017-09-19,-0.003949999999999898,0.0,7414.0,0.0,7414.0
2017-09-20,0.003909999999999858,895.0,6412.0,895.0,6412.0
2017-09-21,0.007839999999999625,6939.0,508.0,5871.0,192.0
2017-09-22,-0.00045999999999990493,0.0,7309.0,0.0,7309.0
2017-09-25,0.0011099999999992782,4964.0,2237.0,4540.0,1413.0
2017-09-26,-0.005629999999999802,7285.0,0.0,7285.0,0.0
2017-09-27,-0.004929999999999879,7432.0,0.0,7432.0,0.0
2017-09-28,0.01032000000000144,6838.0,477.0,4978.0,222.0
2017-09-29,-0.0027200000000000557,0.0,7250.0,0.0,7250.0
2017-10-02,0.0011499999999997623,4857.0,2329.0,4857.0,2329.0
2017-10-03,0.005039999999998601,6138.0,1094.0,4087.0,383.0
2017-10-04,-0.0014899999999999913,0.0,7157.0,0.0,7157.0
2017-10-05,0.002850000000000019,2308.0,4707.0,1912.0,4530.0
2017-10-06,-0.002129999999999743,0.0,7168.0,0.0,7168.0
2017-10-09,-0.0007200000000000548,0.0,6783.0,0.0,6783.0
2017-10-10,-0.006830000000000114,0.0,7049.0,0.0,7049.0
2017-10-11,0.0050400000000001555,7170.0,6.0,5632.0,5.0
2017-10-12,-0.0016399999999996417,3494.0,3502.0,2644.0,2806.0
2017-10-13,0.000879999999999992,0.0,7088.0,0.0,7088.0
2017-10-16,0.01268000000000069,5763.0,1212.0,1954.0,464.0
2017-10-17,-0.003909999999999858,6610.0,377.0,4670.0,337.0
2017-10-18,0.0044599999999999085,5879.0,1063.0,5591.0,735.0
2017-10-19,-0.006330000000000169,0.0,7225.0,0.0,7225.0
2017-10-20,0.006389999999999896,20.0,7174.0,12.0,6087.0
2017-10-23,0.0028800000000002157,4545.0,2439.0,2510.0,1471.0
2017-10-24,0.0040999999999999925,184.0,6598.0,77.0,4084.0
2017-10-25,-0.005149999999999988,0.0,7090.0,0.0,7090.0
2017-10-26,0.012150000000000993,629.0,6549.0,208.0,4296.0
2017-10-27,-0.011389999999999345,4928.0,2294.0,4439.0,1682.0
2017-10-30,-0.0045400000000002105,0.0,6992.0,0.0,6992.0
2017-10-31,0.0004700000000001926,0.0,6956.0,0.0,6956.0
2017-11-01,0.0026599999999998842,0.0,6981.0,0.0,6981.0
2017-11-02,-0.005860000000000198,38.0,7110.0,32.0,5066.0
2017-11-03,0.003570000000000517,1887.0,4870.0,1879.0,4838.0
2017-11-06,0.00035000000000007237,6450.0,0.0,6450.0,0.0
2017-11-07,0.0014099999999990234,6520.0,174.0,5017.0,49.0
2017-11-08,0.004380000000000717,6354.0,324.0,1914.0,78.0
2017-11-09,-0.0015399999999996528,2564.0,4163.0,1995.0,2155.0
2017-11-10,-0.005359999999996701,3750.0,2772.0,2037.0,756.0
2017-11-13,-0.006460000000000354,2435.0,3758.0,995.0,1946.0
2017-11-14,-0.012759999999999883,0.0,6373.0,0.0,6373.0
2017-11-15,0.0005399999999999852,0.0,6865.0,0.0,6865.0
2017-11-16,0.0020000000000000018,0.0,6768.0,0.0,6768.0
2017-11-17,-0.0021300000000001873,0.0,6950.0,0.0,6950.0
2017-11-20,0.003120000000000678,4325.0,2406.0,2466.0,2103.0
2017-11-21,0.0006800000000000139,6636.0,0.0,6636.0,0.0
2017-11-22,-0.0020599999999997287,3819.0,2846.0,2420.0,2057.0
2017-11-23,-0.0029799999999997606,0.0,6417.0,0.0,6417.0
2017-11-24,-0.008059999999999956,0.0,6449.0,0.0,6449.0
2017-11-27,-0.0019499999999998963,859.0,5525.0,595.0,2548.0
2017-11-28,0.005669999999999842,0.0,6901.0,0.0,6901.0
2017-11-29,-0.0011199999999997878,0.0,6938.0,0.0,6938.0
2017-11-30,0.00023000000000084064,3369.0,3677.0,1846.0,2234.0
2017-12-01,0.006269999999999998,425.0,6933.0,243.0,4917.0
2017-12-04,0.005910000000000082,4020.0,2682.0,2247.0,1782.0
2017-12-05,-0.0011599999999996058,3226.0,3593.0,2660.0,2711.0
2017-12-06,-0.002850000000000019,6837.0,0.0,6837.0,0.0
2017-12-07,0.002029999999999088,6338.0,477.0,4086.0,128.0
2017-12-08,-0.0009799999999999809,6740.0,0.0,6740.0,0.0
2017-12-11,0.004619999999999402,3441.0,2870.0,2279.0,1333.0
2017-12-12,0.0021100000000000563,2081.0,4320.0,2075.0,4317.0
2017-12-13,-0.0019799999999998703,3546.0,2820.0,1811.0,1635.0
2017-12-14,0.0037200000000001676,0.0,6996.0,0.0,6996.0
2017-12-15,0.003130000000000077,0.0,6730.0,0.0,6730.0
2017-12-18,-3.999999999959593e-05,766.0,5664.0,431.0,5620.0
2017-12-19,-0.005980000000000096,0.0,6663.0,0.0,6663.0
2017-12-20,-0.003570000000000073,0.0,6588.0,0.0,6588.0
2017-12-21,0.00017000000000000343,0.0,6577.0,0.0,6577.0
2017-12-22,0.0018100000000000893,0.0,6615.0,0.0,6615.0
2017-12-25,-0.0016300000000000199,0.0,531.0,0.0,531.0
2017-12-26,0.0019200000000010329,68.0,4814.0,45.0,2769.0
2017-12-27,-0.0035199999999999676,123.0,6095.0,57.0,3884.0
2017-12-28,0.0028500000000013515,5369.0,906.0,5223.0,871.0
2017-12-29,0.005209999999999715,6055.0,145.0,4959.0,51.0
