,PNL,buys,sells,longest_buys,longest_sells
2017-07-07,0.0117499999999926,3326.0,3687.0,13.0,45.0
2017-07-10,0.004049999999981457,2938.0,3597.0,19.0,20.0
2017-07-11,0.0024099999999813715,2455.0,4232.0,22.0,1292.0
2017-07-12,0.0034800000000099196,3495.0,3501.0,291.0,353.0
2017-07-13,0.005290000000009787,3401.0,3494.0,20.0,49.0
2017-07-14,0.005119999999986469,3206.0,3514.0,15.0,17.0
2017-07-17,-0.0020799999999874252,3106.0,3525.0,23.0,30.0
2017-07-18,-0.006430000000002378,509.0,6692.0,10.0,6159.0
2017-07-19,-0.006260000000000376,3797.0,2948.0,325.0,27.0
2017-07-20,-0.002119999999998346,3536.0,3560.0,1382.0,2041.0
2017-07-21,0.003280000000001282,1583.0,5471.0,13.0,2098.0
2017-07-24,0.005919999999993486,3079.0,3755.0,16.0,49.0
2017-07-25,0.001599999999995383,2922.0,4140.0,27.0,827.0
2017-07-26,-0.0060100000000229414,3082.0,4036.0,15.0,621.0
2017-07-27,0.009989999999998833,3031.0,4365.0,99.0,1018.0
2017-07-28,0.012600000000003053,3550.0,3614.0,22.0,37.0
2017-07-31,-0.0030199999999951377,2483.0,4636.0,27.0,1875.0
2017-08-01,0.009310000000007701,4397.0,2760.0,203.0,27.0
2017-08-02,0.0038400000000082812,2227.0,4977.0,16.0,2067.0
2017-08-03,0.002589999999990767,3291.0,3799.0,26.0,49.0
2017-08-04,-0.00980999999999388,3190.0,3870.0,602.0,32.0
2017-08-07,-0.009270000000004774,2828.0,4087.0,96.0,177.0
2017-08-08,-0.00037000000001064003,3197.0,3949.0,174.0,37.0
2017-08-09,0.010749999999989157,4081.0,3346.0,374.0,20.0
2017-08-10,0.006789999999988083,3692.0,3509.0,25.0,27.0
2017-08-11,0.00025999999999792855,2268.0,4900.0,13.0,1180.0
2017-08-14,-0.004049999999998333,3023.0,4199.0,26.0,46.0
2017-08-15,-0.007249999999986878,3367.0,3723.0,87.0,14.0
2017-08-16,0.0044799999999936,3674.0,3414.0,52.0,17.0
2017-08-17,0.00856999999999819,3439.0,3904.0,98.0,16.0
2017-08-18,0.014740000000007525,3293.0,3982.0,15.0,37.0
2017-08-21,0.00140999999999325,2437.0,4550.0,16.0,117.0
2017-08-22,0.003639999999998089,3216.0,3706.0,57.0,48.0
2017-08-23,-0.009590000000012866,3167.0,3827.0,15.0,21.0
2017-08-24,0.005890000000005946,3298.0,3506.0,12.0,18.0
2017-08-25,-0.006360000000004362,2428.0,4522.0,35.0,2213.0
2017-08-28,0.0013600000000002516,3.0,875.0,3.0,875.0
2017-08-29,-0.0019399999999996087,7.0,6514.0,3.0,6236.0
2017-08-30,0.009010000000007734,3814.0,3555.0,429.0,150.0
2017-08-31,0.004010000000017833,3634.0,3723.0,75.0,128.0
2017-09-01,-0.012829999999988129,3582.0,3565.0,60.0,45.0
2017-09-04,-0.004220000000013658,3290.0,3795.0,19.0,14.0
2017-09-05,-0.007500000000009166,3398.0,3832.0,15.0,32.0
2017-09-06,0.012569999999986425,2125.0,5101.0,16.0,418.0
2017-09-07,0.005169999999981023,1547.0,5712.0,22.0,2750.0
2017-09-08,0.0022900000000043437,1769.0,5636.0,42.0,1500.0
2017-09-11,-0.005200000000009863,3478.0,3729.0,45.0,50.0
2017-09-12,-0.0007100000000237474,2903.0,3532.0,12.0,19.0
2017-09-13,-0.004930000000004542,4390.0,2767.0,1758.0,19.0
2017-09-14,0.01705000000000889,3623.0,3651.0,216.0,94.0
2017-09-15,-0.0029799999999891025,3578.0,3837.0,46.0,102.0
2017-09-18,-0.00808000000000719,3875.0,3481.0,26.0,17.0
2017-09-19,0.008910000000024398,2590.0,4824.0,15.0,745.0
2017-09-20,0.01022999999999108,1835.0,5472.0,18.0,1369.0
2017-09-21,-0.00026000000002235357,4405.0,3042.0,54.0,26.0
2017-09-22,0.007179999999987086,3611.0,3698.0,19.0,15.0
2017-09-25,0.004630000000001022,4766.0,2435.0,1730.0,23.0
2017-09-26,-0.0003300000000041603,5382.0,1903.0,4269.0,146.0
2017-09-27,-0.0022700000000064335,5850.0,1582.0,3097.0,23.0
