,PNL,buys,sells,longest_buys,longest_sells
2017-07-07,0.005809999999992765,3261.0,3752.0,15.0,30.0
2017-07-10,0.0029699999999917015,3019.0,3516.0,22.0,16.0
2017-07-11,-0.0034900000000164244,2519.0,4168.0,12.0,1284.0
2017-07-12,0.002300000000011072,3808.0,3188.0,792.0,309.0
2017-07-13,0.001930000000008203,3427.0,3468.0,26.0,45.0
2017-07-14,-0.000940000000005714,3248.0,3472.0,13.0,13.0
2017-07-17,0.012560000000009897,3053.0,3578.0,16.0,17.0
2017-07-18,0.007349999999998635,6646.0,555.0,6155.0,14.0
2017-07-19,-0.013019999999994925,3640.0,3105.0,132.0,33.0
2017-07-20,-0.0048999999999899116,3555.0,3541.0,651.0,2042.0
2017-07-21,0.0015600000000042249,1728.0,5326.0,16.0,1997.0
2017-07-24,0.011059999999993408,3326.0,3508.0,22.0,28.0
2017-07-25,-0.001679999999995463,2971.0,4091.0,15.0,825.0
2017-07-26,-0.0009300000000207476,3040.0,4078.0,16.0,628.0
2017-07-27,-0.00186999999999804,2938.0,4458.0,61.0,994.0
2017-07-28,-0.0024200000000038635,3595.0,3569.0,28.0,24.0
2017-07-31,-0.006320000000009651,2546.0,4573.0,11.0,1875.0
2017-08-01,0.010030000000007089,3177.0,3980.0,53.0,567.0
2017-08-02,0.001820000000016364,2144.0,5060.0,14.0,2070.0
2017-08-03,0.00012999999999996348,3280.0,3810.0,32.0,27.0
2017-08-04,-0.005970000000010911,3464.0,3596.0,161.0,23.0
2017-08-07,-0.002470000000004191,3057.0,3858.0,33.0,138.0
2017-08-08,-0.005289999999992245,3176.0,3970.0,169.0,21.0
2017-08-09,-0.006190000000001916,3982.0,3445.0,378.0,17.0
2017-08-10,0.005089999999990713,3594.0,3607.0,27.0,19.0
2017-08-11,-0.003600000000001158,2469.0,4699.0,22.0,613.0
2017-08-14,0.00433000000000372,3304.0,3918.0,18.0,38.0
2017-08-15,0.004630000000008794,3347.0,3743.0,87.0,16.0
2017-08-16,-0.010700000000007703,3770.0,3318.0,64.0,15.0
2017-08-17,0.008249999999994317,3431.0,3912.0,87.0,16.0
2017-08-18,0.006339999999997348,3403.0,3872.0,19.0,28.0
2017-08-21,0.003729999999994238,2217.0,4770.0,15.0,2072.0
2017-08-22,0.0041199999999950165,3233.0,3689.0,43.0,35.0
2017-08-23,0.001669999999988514,3207.0,3787.0,12.0,17.0
2017-08-24,-0.001830000000003773,3245.0,3559.0,19.0,14.0
2017-08-25,-7.993829393999202e-15,2359.0,4591.0,27.0,2213.0
2017-08-28,-0.01525999999999983,2.0,876.0,1.0,875.0
2017-08-29,-0.0015999999999996017,8.0,6513.0,3.0,6236.0
2017-08-30,-0.0019299999999968787,3968.0,3401.0,224.0,81.0
2017-08-31,0.003610000000004998,3702.0,3655.0,92.0,36.0
2017-09-01,-0.01978999999999065,3651.0,3496.0,27.0,29.0
2017-09-04,0.005260000000000931,3372.0,3713.0,12.0,15.0
